Date,State,State Abbr,emergency,stay_at_home,schools,day_cares,visitors_nursing_homes,non_essential_business,restaurants,bars,elective_surgery,mask_req_in_public,mask_req_employees
28-Mar-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
29-Mar-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
30-Mar-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
31-Mar-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
01-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
02-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
03-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
04-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
05-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
06-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
07-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
08-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
09-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
10-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
11-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
12-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
13-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
14-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
15-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
16-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
17-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
18-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
19-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,0,0,0
20-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,1,0,0
21-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,1,0,0
22-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,1,0,0
23-Apr-20,Alaska,AK,0,0,0,1,1,0,0,0,1,0,0
24-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
25-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
26-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
27-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
28-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
29-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
30-Apr-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
01-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
02-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
03-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
04-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
05-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
06-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
07-May-20,Alaska,AK,0,1,0,1,1,1,1,0,1,0,1
08-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
09-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
10-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
11-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
12-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
13-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
14-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
15-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
16-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
17-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
18-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
19-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
20-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
21-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
22-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
23-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
24-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
25-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
26-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
27-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
28-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
29-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
30-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
31-May-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
01-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
02-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
03-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
04-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
05-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
06-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
07-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
08-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
09-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
10-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
11-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
12-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
13-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
14-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
15-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
16-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
17-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
18-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
19-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
20-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
21-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
22-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
23-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
24-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
25-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
26-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
27-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
28-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
29-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
30-Jun-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
01-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
02-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
03-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
04-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
05-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
06-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
07-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
08-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
09-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
10-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
11-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
12-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
13-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
14-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
15-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
16-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
17-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
18-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
19-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
20-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
21-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
22-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
23-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
24-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
25-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
26-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
27-Jul-20,Alaska,AK,0,1,0,1,1,1,1,1,1,0,1
01-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
02-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
03-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
04-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
05-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
06-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
07-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
08-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
09-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
10-Mar-20,Arizona,AZ,1,1,1,1,1,1,1,1,1,0,0
11-Mar-20,Arizona,AZ,0,1,1,1,1,1,1,1,0,0,0
12-Mar-20,Arizona,AZ,0,1,1,1,1,1,1,1,0,0,0
